"Predictor";"Estimate";"Std.Error";"P(>|t|)";"sig"
"(Intercept)";4,83751690251697;0,0310532139915763;0;"*"
"time_yr";0,319104334063957;0,0366777082751714;0;"*"
"I(time_yr^2)";-0,329039204182509;0,0176543390886697;7,28521211168509e-05;"*"
"age_cat35-49";-0,0847850969255258;0,0225974652621617;0,000712814905645676;"*"
"age_cat50-64";-0,114261669401946;0,0291427417575569;0,030000456468628;"*"
"age_cat65+";-0,210594934860946;0,0219080812593269;9,98523930206829e-10;"*"
"sekseVrouw";-0,00780478396848955;0,0424418962540668;0,880693697200081;""
"etn_herkomstmigratie_westers";0,0185721411513857;0,0664357644938129;0,820207068820272;""
"etn_herkomstmigratie_niet_westers";-0,123840422563741;0,0667432712369057;0,23384436569627;""
"eduMiddel";-0,182355156786542;0,0232522334787374;0,010735040085728;"*"
"eduLaag";-0,251638063578976;0,0266695230481798;2,84218781843038e-09;"*"
"huisAlleenstaand_met_kinderen";-0,0416149256090673;0,12578518707598;0,791024776942565;""
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0835325996390154;0,0264356023268737;0,0439573641651252;"*"
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0213042482477826;0,0150815531799214;0,157800291203094;""
"huisAnders";-0,0578627697779309;0,0288265628856448;0,0639601218839172;""
"gezo";-0,0562926584950311;0,00574626048890119;0;"*"
"rond";-0,162709030328774;0,0132952832281407;0,0282546902018574;"*"
"drei";0,0733152520225105;0,0119398799689405;0,0276676928132726;"*"
"onvr";-0,284310083555453;0,00545465819842969;3,10862446895044e-14;"*"
"time_yr:age_cat35-49";-0,0113051146247614;0,0244802618082615;0,681107681157243;""
"time_yr:age_cat50-64";-0,0809469840363472;0,0580610114358332;0,375540905764757;""
"time_yr:age_cat65+";-0,0854151390025294;0,0394434380821307;0,216357234038137;""
"time_yr:sekseVrouw";-0,0281547792752658;0,0581823719610787;0,709684105852829;""
"time_yr:etn_herkomstmigratie_westers";-0,0650020263136398;0,0799855614116518;0,557201545595574;""
"time_yr:etn_herkomstmigratie_niet_westers";0,118259010111538;0,0643606220806125;0,289334704136987;""
"time_yr:eduMiddel";0,0639036848044168;0,0294410594571736;0,222441839356422;""
"time_yr:eduLaag";0,0854415126152206;0,0168479008145662;4,09315911831243e-07;"*"
"time_yr:huisAlleenstaand_met_kinderen";0,054001326666283;0,198364931047553;0,829684687170215;""
"time_yr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,0477882852490092;0,0234165076185463;0,148495832187146;""
"time_yr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,0162487341886391;0,012405656613473;0,190277591031878;""
"time_yr:huisAnders";0,0812754072388367;0,0178872207130685;6,25390650155211e-06;"*"
"time_yr:gezo";-0,0283934999523207;0,0258751695219767;0,453464106756477;""
"time_yr:rond";0,0703965570805173;0,0110429218368438;0,0348025269299599;"*"
"time_yr:drei";0,0251744122449099;0,00869806272110909;0,0305654619484961;"*"
"time_yr:onvr";-0,242993425650576;0,0120322388894187;0,00458189603463421;"*"
