"Predictor";"Estimate";"Std.Error";"P(>|t|)";"sig"
"(Intercept)";4,83731175448623;0,036069309479442;0;"*"
"time_yr";0,284516820104896;0,0808567971914602;0,0183439964249628;"*"
"I(time_yr^2)";-0,30090116160945;0,0665363174460875;0,0463852735826258;"*"
"age_cat35-49";-0,126089687655805;0,0223118797789698;1,59300870272716e-08;"*"
"age_cat50-64";-0,134422528415443;0,0212597505867739;7,74031949646314e-10;"*"
"age_cat65+";-0,214469982964236;0,0239108298470812;1,55182577898927e-09;"*"
"sekseVrouw";-0,0348006052276334;0,0529769670447641;0,619235100140681;""
"etn_herkomstmigratie_westers";0,0607393977416303;0,0537892911615886;0,413239116062065;""
"etn_herkomstmigratie_niet_westers";-0,081427803862708;0,111538752369789;0,581677429049479;""
"eduMiddel";-0,146404646194357;0,0249712937938604;0,0177279023482666;"*"
"eduLaag";-0,204004848091042;0,0453401246568183;0,0398072242849481;"*"
"huisAlleenstaand_met_kinderen";0,00592190942182512;0,0916237206108035;0,956530604574653;""
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0725068762560446;0,0328394432073026;0,134295816291451;""
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0220726723049337;0,0172110400295362;0,200727646710986;""
"huisAnders";-0,0619000944138686;0,0460240643451338;0,295830813018007;""
"gezo";-0,0572225962681958;0,00591897515276336;6,98330282489223e-13;"*"
"rond";-0,161553910133958;0,0130962820687527;0,0273594501909882;"*"
"drei";0,0737787693045336;0,0112847930997555;0,019306728549275;"*"
"onvr";-0,282213637616432;0,00609449338543353;6,84898555647351e-08;"*"
"time_yr:age_cat35-49";0,233636146239061;0,0942804947086893;0,11840944381201;""
"time_yr:age_cat50-64";0,0405611483795792;0,0691083561448372;0,582003510756914;""
"time_yr:age_cat65+";-0,0587706091419982;0,100453986725484;0,617658078820887;""
"time_yr:sekseVrouw";0,132589293787159;0,125166793929791;0,460560163871541;""
"time_yr:etn_herkomstmigratie_westers";-0,313583632044264;0,0573882488950128;4,76635668711367e-08;"*"
"time_yr:etn_herkomstmigratie_niet_westers";-0,131879802351474;0,348489033736969;0,766380638773934;""
"time_yr:eduMiddel";-0,150910046391694;0,0519323602721809;0,0331512890589569;"*"
"time_yr:eduLaag";-0,198936546027844;0,161942121027428;0,391525299248792;""
"time_yr:huisAlleenstaand_met_kinderen";-0,228513097413548;0,0944982348019248;0,0161485293401538;"*"
"time_yr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0183195121701881;0,0784008925902183;0,829079617685252;""
"time_yr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,0188868805709836;0,0483493216698385;0,6975615981676;""
"time_yr:huisAnders";0,105758151344781;0,145020610890564;0,559903055201618;""
"time_yr:gezo";-0,0271539758958656;0,0258661164836293;0,468107684285919;""
"time_yr:rond";0,0695754750997289;0,0107375184862411;0,031218170961643;"*"
"time_yr:drei";0,0244250561761521;0,00870445961018329;0,0342186788728922;"*"
"time_yr:onvr";-0,244675697570475;0,0125904393476887;0,00609586090261605;"*"
"I(time_yr^2):age_cat35-49";-0,172746607586096;0,0547549175862242;0,0446068774400439;"*"
"I(time_yr^2):age_cat50-64";-0,0859651654566987;0,079940394622576;0,422775266587347;""
"I(time_yr^2):age_cat65+";-0,0192403975883084;0,0926176656891663;0,861424054128884;""
"I(time_yr^2):sekseVrouw";-0,113448114268554;0,0502078530871732;0,180707023951586;""
"I(time_yr^2):etn_herkomstmigratie_westers";0,175102586692584;0,0709282922715238;0,130582630955536;""
"I(time_yr^2):etn_herkomstmigratie_niet_westers";0,176212943114655;0,202398882528989;0,533203575259926;""
"I(time_yr^2):eduMiddel";0,151553196267507;0,026712870558565;2,00831000718438e-08;"*"
"I(time_yr^2):eduLaag";0,200516943079853;0,112040087469085;0,274093112234074;""
"I(time_yr^2):huisAlleenstaand_met_kinderen";0,199250540258753;0,166520110802;0,400345563399823;""
"I(time_yr^2):huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,046638420104368;0,045311485414468;0,338694139964719;""
"I(time_yr^2):huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,00175933748816993;0,0327504275410345;0,957347839603333;""
"I(time_yr^2):huisAnders";-0,0173680753497269;0,103483494973483;0,886729131219293;""
